comparison,top_10_mean_difference,top_10_mean_absolute_case_difference,top_10_case_spearman,k_80_median_difference,k_80_mean_absolute_case_difference,k_80_case_spearman,entropy_mean_difference,entropy_mean_absolute_case_difference,entropy_case_spearman,global_mean_abs_shap_rank_spearman
reference_vs_reduced_background,0.052771616641936636,0.06377770317291108,0.7831666460879944,-34.5,34.333333333333336,0.7424970150806252,-0.05338417112406324,0.05345101421210692,0.8340535868625756,0.5753294464242941
reference_vs_reduced_cycles,0.03187035008988759,0.06183408851299128,0.6265382557517389,-31.0,30.166666666666668,0.6487735132696218,-0.037331512735502614,0.038775152830237684,0.7342881837263859,0.7215382804191347
