config,background_groups_per_class,background_groups_total,cycles,cases,top_10_share_mean,top_10_share_median,k_80_mean,k_80_median,normalized_entropy_mean,max_additivity_error,elapsed_seconds,source
reference,3,9,3,90,0.42773780426804353,0.41943583766258996,73.92222222222222,73.0,0.45485381561761334,4.540919122109077e-07,971.1696572000074,new
reduced_background,1,3,3,90,0.48050942090998033,0.4738434703051282,39.58888888888889,38.5,0.40146964449355016,4.557869767440881e-07,320.2137736000004,new
reduced_cycles,3,9,1,90,0.45960815435793095,0.45883245641167925,43.77777777777778,42.0,0.4175223028821108,4.718182969876139e-07,315.8554982999922,new
