model,representation,fold,macro_f1,weighted_f1,accuracy,macro_precision,macro_recall,fit_seconds,predict_seconds
logistic_regression,word,0,0.34986220953269287,0.4033195854897428,0.441453272050777,0.4031400616350344,0.37667864325958383,0.5468877000021166,0.29803019999963
logistic_regression,word,1,0.3712301971800853,0.4217746880384714,0.45689277899343544,0.4502070049830739,0.39317368405777686,0.5311595999992278,0.3102833999982977
logistic_regression,char,0,0.3564471429616498,0.4058519453890563,0.43795141168745894,0.394988660818506,0.3769310259245418,2.8841327000009187,2.467239099998551
logistic_regression,char,1,0.37055382111217844,0.4166460013620971,0.44551422319474837,0.4182530912372789,0.3866577441351578,2.898976500000572,2.7228671000011673
logistic_regression,word_char,0,0.3636896450434582,0.41330800696867614,0.4462683300503392,0.41250017587540677,0.38426839900514453,4.5448253999966255,4.466399199998705
logistic_regression,word_char,1,0.3799649821822191,0.42779594331131177,0.4590809628008753,0.44508791924086805,0.3976309480543105,4.615442400001484,4.479483399998571
linear_svm,word,0,0.3989715623683858,0.432503243836528,0.44692492886846136,0.4215791879863731,0.40154497084787527,0.6663124000006064,0.5063626999981352
linear_svm,word,1,0.39990640087811363,0.4339414483944279,0.44901531728665206,0.425594605448221,0.4026192750636713,0.8041233000003558,0.517396600000211
linear_svm,char,0,0.398874718458133,0.43064568017974714,0.4429853359597286,0.4167938868321457,0.40029251537546945,5.333456299998943,4.343442299999879
linear_svm,char,1,0.39711684442125317,0.42644954759090736,0.43566739606126914,0.4085131430818967,0.3972549364074678,4.871808300002158,2.3142833999991126
linear_svm,word_char,0,0.40193758198519264,0.4339261638823844,0.4473626614138761,0.4251477885487856,0.4034009234413662,2.8386318999982905,2.51822390000234
linear_svm,word_char,1,0.4064541907900254,0.4403771468149141,0.4547045951859956,0.42977710294424093,0.40869510271791437,2.6881505999990623,2.5669135999996797
complement_naive_bayes,word,0,0.3907577416611754,0.42053213386625904,0.4305099584154082,0.4013616777305334,0.3920010367464421,0.39743300000191084,0.2496093000008841
complement_naive_bayes,word,1,0.4038749287140591,0.4352690172755639,0.4448577680525164,0.4128553403102501,0.40493291368201384,0.3773399000019708,0.2636144999996759
complement_naive_bayes,char,0,0.389766554292756,0.41898072340263154,0.42678923177938277,0.39494978937842046,0.391241832996166,2.269460000003164,2.147467799997685
complement_naive_bayes,char,1,0.38908897321610586,0.4197220404699659,0.4284463894967177,0.3942114252298842,0.3911062295408487,2.07421560000148,2.1061150999994425
complement_naive_bayes,word_char,0,0.3895368778340234,0.421768662574333,0.4322608885970672,0.398164695715218,0.3917271404322382,2.6412140000029467,3.054569199997786
complement_naive_bayes,word_char,1,0.413962869893221,0.4426269396370681,0.4512035010940919,0.4220901692915204,0.41463718313687054,5.431842699999834,3.500443400000222
