semantic_group_id,records,pair_count,pair_similarity_min,pair_similarity_p05,pair_similarity_median,pair_similarity_mean,share_pairs_at_or_ab_threshold
5c1adc7aa2813d400ebf30ac65484e8b7383ede9,2,1,0.951055109500885,0.951055109500885,0.951055109500885,0.951055109500885,1.0
603bad4fb32412c241eb808c11ebbed03382c1de,2,1,0.9639968276023865,0.9639968276023865,0.9639968276023865,0.9639968276023865,1.0
4d637febf3a753f81a7856ea8ecbb63fe8eaea4c,2,1,0.9684081077575684,0.9684081077575684,0.9684081077575684,0.9684081077575684,1.0
b44c4542066104f8a1de1e1dfa8c5b4613814077,2,1,0.9681786298751831,0.9681786298751831,0.9681786298751831,0.9681786298751831,1.0
51e14e092aa39b34c1201a6e83c2cc3d3281d667,2,1,0.9812754392623901,0.9812754392623901,0.9812754392623901,0.9812754392623901,1.0
de1f211d7fb1dd53f830f716d9499d66d3b65ee1,2,1,0.9775987863540649,0.9775987863540649,0.9775987863540649,0.9775987863540649,1.0
e6993512194e1cb4efa0af2217ada91e61cda6a3,2,1,0.9581819176673889,0.9581819176673889,0.9581819176673889,0.9581819176673889,1.0
124adb24f32e182d767741896237fcfe47ba84b4,2,1,0.9672408699989319,0.9672408699989319,0.9672408699989319,0.9672408699989319,1.0
3154ff4c45bcb59bc5b839fbb341a71def216a27,2,1,0.9804043769836426,0.9804043769836426,0.9804043769836426,0.9804043769836426,1.0
c2268e03a03f75088eb1878356a600368d12fa1e,2,1,0.9689223766326904,0.9689223766326904,0.9689223766326904,0.9689223766326904,1.0
dc865c1c7bda2052fe8a732838a28c81c05704a7,2,1,0.9649034738540649,0.9649034738540649,0.9649034738540649,0.9649034738540649,1.0
eefbe4006a89d11396b8018ebf183d39c8df0354,2,1,0.9612696170806885,0.9612696170806885,0.9612696170806885,0.9612696170806885,1.0
bfe5302a6bc9da30c1b1ef73c96b12c54192eb5d,2,1,0.979658842086792,0.979658842086792,0.979658842086792,0.979658842086792,1.0
8480d8b828c3abe3cf5458a73cdaa96c929d3f9a,2,1,0.967212975025177,0.967212975025177,0.967212975025177,0.967212975025177,1.0
