feature_set,mean_macro_f1_across_models,mean_weighted_f1_across_models,mean_accuracy_across_models,feature_rank,selected_for_common_comparison
FS4,0.5123371454393102,0.5365760992694654,0.5433790597346174,3,True
FS5,0.5118149668839163,0.5358969702879709,0.5426785164969845,4,False
FS1,0.46298226148509064,0.4907125195209097,0.49956920672937877,0,False
FS2,0.46189679825361957,0.48893992436002226,0.4980684791407433,1,False
FS3,0.4593649434395032,0.48683941640905054,0.49623597367254974,2,False
