model,rank_within_model,candidate_index,mean_train_macro_f1,mean_macro_f1,std_macro_f1,mean_weighted_f1,mean_accuracy,mean_fit_seconds,params,train_validation_gap
complement_naive_bayes,1,1,0.7353343405649497,0.448465734379905,0.00485469334149147,0.4692692700403538,0.47145593643684497,10.660369968414306,"{""classifier__alpha"": 0.05}",0.2868686061850447
complement_naive_bayes,2,2,0.7265883385464569,0.4472499285676794,0.004024459257968568,0.46815737735815227,0.4704929918479298,10.66693959236145,"{""classifier__alpha"": 0.1}",0.27933840997877746
complement_naive_bayes,3,3,0.7134771819765715,0.44449174030592775,0.004171035703726442,0.4654000967899051,0.46808516565371505,10.707862138748169,"{""classifier__alpha"": 0.2}",0.26898544167064375
complement_naive_bayes,4,4,0.7039153480990656,0.44263817287214124,0.004369427288567132,0.46411912798630944,0.46707835200116393,10.634416007995606,"{""classifier__alpha"": 0.3}",0.2612771752269244
complement_naive_bayes,5,5,0.688236464081255,0.44070838850737426,0.006142599002231551,0.46333912129504695,0.4671659177173676,10.965229272842407,"{""classifier__alpha"": 0.5}",0.2475280755738808
complement_naive_bayes,6,6,0.673835887764185,0.43742435633740484,0.007650687194306582,0.4616249483965861,0.46668432564895806,10.883676147460937,"{""classifier__alpha"": 0.75}",0.23641153142678017
complement_naive_bayes,7,7,0.6610242953608583,0.43385626967742674,0.006122019627089192,0.46021527462666095,0.4672101509612666,11.026003503799439,"{""classifier__alpha"": 1.0}",0.22716802568343153
complement_naive_bayes,8,8,0.6374637668771548,0.4272745887522543,0.005675273379488336,0.4575828018687821,0.4684362621029531,10.722980833053589,"{""classifier__alpha"": 1.5}",0.21018917812490046
complement_naive_bayes,9,9,0.6146604330509475,0.41856593348629545,0.0052678282697786625,0.4536656081453966,0.4692240081603769,10.72670612335205,"{""classifier__alpha"": 2.0}",0.19609449956465208
complement_naive_bayes,10,10,0.5763312299034168,0.4023422651917087,0.007295193403276525,0.44480530209550606,0.4684800640926726,10.898310375213622,"{""classifier__alpha"": 3.0}",0.1739889647117081
complement_naive_bayes,11,11,0.514129096639708,0.3792863608746634,0.004365712024819673,0.43111493290093206,0.4665972773169651,10.90101146697998,"{""classifier__alpha"": 5.0}",0.13484273576504457
complement_naive_bayes,12,12,0.4336200750509704,0.3565526507349242,0.00408824271134269,0.4164871496479579,0.462569466958644,10.665192651748658,"{""classifier__alpha"": 10.0}",0.07706742431604618
knn_cosine,1,2,0.9999460681020984,0.4968153613304798,0.0014750844949790664,0.520454774167472,0.5258739909081387,10.727964162826538,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""distance""}",0.5031307067716186
knn_cosine,2,4,0.99994593064702,0.47532969160750377,0.0036593023603451245,0.5055097708155485,0.5164183827643585,10.885683250427245,"{""classifier__n_neighbors"": 9, ""classifier__weights"": ""distance""}",0.5246162390395162
knn_cosine,3,1,0.8083790687447904,0.4642075273089449,0.004527424077496171,0.4864301361782255,0.488135770340817,10.925339460372925,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.3441715414358455
knn_cosine,4,6,0.9999464805052387,0.44808974650696076,0.003186010719800172,0.4838418400096531,0.5005700201923015,11.93148136138916,"{""classifier__n_neighbors"": 15, ""classifier__weights"": ""distance""}",0.551856733998278
knn_cosine,5,3,0.718294460000934,0.4419509725014283,0.0017029320950384277,0.47199995873618217,0.4795560681833577,10.580705881118774,"{""classifier__n_neighbors"": 9, ""classifier__weights"": ""uniform""}",0.2763434874995057
knn_cosine,6,8,0.9999462055571768,0.42667176845401683,0.0041565389966376366,0.4694923006980748,0.49391523931682635,10.971320199966431,"{""classifier__n_neighbors"": 25, ""classifier__weights"": ""distance""}",0.57327443710316
knn_cosine,7,5,0.6366379282896953,0.41634339159333955,0.003887126475119723,0.45288013601592036,0.4681737469815547,10.777328252792358,"{""classifier__n_neighbors"": 15, ""classifier__weights"": ""uniform""}",0.2202945366963558
knn_cosine,8,10,0.9999464805052387,0.40666298359936637,0.006669949206493818,0.45585300269769,0.48796205721522073,10.857359838485717,"{""classifier__n_neighbors"": 40, ""classifier__weights"": ""distance""}",0.5932834969058723
knn_cosine,9,7,0.561463906534071,0.3998403861505359,0.006336096889132121,0.4434054150108156,0.46760447416814255,10.732820987701416,"{""classifier__n_neighbors"": 25, ""classifier__weights"": ""uniform""}",0.16162352038353506
knn_cosine,10,12,0.9999464805052387,0.38794576293107624,0.0037799131623568703,0.44286536249141334,0.4819639423702064,10.961222314834595,"{""classifier__n_neighbors"": 60, ""classifier__weights"": ""distance""}",0.6120007175741624
knn_cosine,11,9,0.5056939741567352,0.3819092723793779,0.008027346660373592,0.4335686286597465,0.46751734928451105,10.889745712280273,"{""classifier__n_neighbors"": 40, ""classifier__weights"": ""uniform""}",0.12378470177735734
knn_cosine,12,11,0.46252120449514644,0.3716953918822291,0.005003074611082514,0.42757472001545693,0.46729825315554707,10.79631748199463,"{""classifier__n_neighbors"": 60, ""classifier__weights"": ""uniform""}",0.09082581261291733
lightgbm,1,5,0.9863820313477877,0.4710202380713131,0.006208152434188056,0.5019466906567343,0.5132664114316963,248.77404108047486,"{""classifier__min_child_samples"": 10, ""classifier__num_leaves"": 63, ""classifier__reg_lambda"": 0.0}",0.5153617932764746
lightgbm,2,6,0.9657787042138622,0.46515572368819785,0.004935761177106995,0.4967288803359621,0.508887801566894,230.5684545993805,"{""classifier__min_child_samples"": 10, ""classifier__num_leaves"": 63, ""classifier__reg_lambda"": 5.0}",0.5006229805256643
lightgbm,3,11,0.9753641935013245,0.4646327484040844,0.003297704116720206,0.4945347524453595,0.5047725021069268,191.66960401535033,"{""classifier__min_child_samples"": 30, ""classifier__num_leaves"": 63, ""classifier__reg_lambda"": 0.0}",0.5107314450972401
lightgbm,4,12,0.9595150325358965,0.462000028218488,0.00364030396888217,0.49265788930603865,0.503940503460061,195.20246663093567,"{""classifier__min_child_samples"": 30, ""classifier__num_leaves"": 63, ""classifier__reg_lambda"": 5.0}",0.4975150043174085
lightgbm,5,3,0.908472088243496,0.4527672799849961,0.005116545579081575,0.4875454670875009,0.5026708779195282,140.19972519874574,"{""classifier__min_child_samples"": 10, ""classifier__num_leaves"": 31, ""classifier__reg_lambda"": 0.0}",0.4557048082584999
lightgbm,6,9,0.8764279933059738,0.4504002210010259,0.0015792241353590898,0.4837567168707603,0.4968046193917181,111.52523975372314,"{""classifier__min_child_samples"": 30, ""classifier__num_leaves"": 31, ""classifier__reg_lambda"": 0.0}",0.42602777230494787
