model,model_family,candidate_configurations,mean_train_macro_f1,mean_macro_f1,std_macro_f1,train_validation_gap,gap_to_second_macro_f1,mean_weighted_f1,mean_accuracy,boundary_signal,natural_limit,best_params,elapsed_seconds
knn_cosine,instance_based,12,0.9999460681020984,0.4968153613304798,0.0014750844949790664,0.5031307067716186,0.021485669722976053,0.520454774167472,0.5258739909081387,n_neighbors=5,none,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""distance""}",1991.059265900003
logistic_regression,linear_baseline,12,0.9200054075725772,0.4729779013658244,0.008493414658258694,0.4470275062067528,0.006276143430794856,0.49146094222513337,0.4909836100340385,C=10.0,none,"{""classifier__C"": 10.0, ""classifier__class_weight"": ""balanced""}",1497.914726300005
lightgbm,gradient_boosting,12,0.9863820313477877,0.4710202380713131,0.006208152434188056,0.5153617932764746,0.005864514383115249,0.5019466906567343,0.5132664114316963,num_leaves=63; min_child_samples=10; reg_lambda=0.0,none,"{""classifier__min_child_samples"": 10, ""classifier__num_leaves"": 63, ""classifier__reg_lambda"": 0.0}",9311.3729665
linear_svm,linear,12,0.9000683205529135,0.47058144992847445,0.00828817788651009,0.4294868706244391,5.7758079711422994e-05,0.49216579587383225,0.4936975423630557,none,none,"{""classifier__C"": 1.0, ""classifier__class_weight"": ""balanced""}",1596.081141900002
random_forest,bagging_ensemble,12,0.9869412874862032,0.46382679423791934,0.004694240493579704,0.5231144932482839,0.010440420928679472,0.4958252254354477,0.5090186230527578,min_samples_leaf=2,max_depth=None,"{""classifier__class_weight"": ""balanced_subsample"", ""classifier__max_depth"": null, ""classifier__min_samples_leaf"": 2}",3483.9818988000043
complement_naive_bayes,probabilistic,12,0.7353343405649497,0.448465734379905,0.00485469334149147,0.2868686061850447,0.0012158058122255788,0.4692692700403538,0.47145593643684497,alpha=0.05,none,"{""classifier__alpha"": 0.05}",1431.462553999998
xgboost,gradient_boosting,12,0.7894506634574386,0.41718835108171837,0.003988207408522155,0.3722623123757203,0.0004473026054672147,0.4638649382473945,0.49268833287911945,max_depth=7; min_child_weight=1; reg_lambda=10.0,none,"{""classifier__max_depth"": 7, ""classifier__min_child_weight"": 1, ""classifier__reg_lambda"": 10.0}",14975.203838599999
