feature_set,baseline_model,baseline_label,alternative_model,alternative_label,baseline_macro_f1,alternative_macro_f1,delta_macro_f1,ci_lower_95,ci_upper_95,lower_bound_95_one_sided,p_value_one_sided_raw,p_value_two_sided_raw,p_value_one_sided_holm,p_value_two_sided_holm,significant_higher_holm
FS4,logistic_regression,Logistic Regression,lightgbm,LightGBM,0.5396890393840784,0.5593972349687143,0.01970819558463588,0.004371019615791738,0.03484101602807641,0.006908521940931679,0.003999600039996,0.009499050094990502,0.023997600239976002,0.03799620037996201,True
FS4,logistic_regression,Logistic Regression,random_forest,Random Forest,0.5396890393840784,0.5565779854845675,0.016888946100489077,-0.0010381581902038305,0.034970831405371425,0.0016367467120289806,0.032296770322967704,0.06779322067793221,0.16148385161483853,0.20337966203379665,False
FS4,logistic_regression,Logistic Regression,knn_cosine,kNN (cosine),0.5396890393840784,0.5477540231880171,0.008064983803938719,-0.012211766489781438,0.028182861721143124,-0.00868702558800578,0.2136786321367863,0.42975702429757023,0.8547145285471452,0.8595140485951405,False
FS4,logistic_regression,Logistic Regression,linear_svm,Linear SVM,0.5396890393840784,0.5406194433746484,0.0009304039905699835,-0.005444234202150256,0.00738975933054462,-0.0044687633402645584,0.38946105389461055,0.7766223377662234,1.0,0.8595140485951405,False
FS4,logistic_regression,Logistic Regression,xgboost,XGBoost,0.5396890393840784,0.5111855010336886,-0.028503538350389768,-0.0461769837886095,-0.010270107118412856,-0.04332980867475271,0.999000099990001,0.0020997900209979003,1.0,0.010498950104989501,False
FS4,logistic_regression,Logistic Regression,complement_naive_bayes,Complement Naive Bayes,0.5396890393840784,0.48926080724261506,-0.05042823214146336,-0.06676160264760256,-0.033256844989955424,-0.06422066986560822,1.0,9.999000099990002e-05,1.0,0.0005999400059994001,False
