category,check,expected,observed,status,detail
modeling,hash: fitted_model_metadata,654a8f278beee1de35cd3745d965757544c5866620289bdbe607257af8e547ba,654a8f278beee1de35cd3745d965757544c5866620289bdbe607257af8e547ba,PASS,
modeling,hash: sentiment_features,fbbbef806d1ae10b454ea0a9d0245e57a19f41486730390bf2a802a7ebde72ea,fbbbef806d1ae10b454ea0a9d0245e57a19f41486730390bf2a802a7ebde72ea,PASS,
modeling,hash: sentiment_metadata,7d27601b5630402e8125212152a22e090f7b0c5e79b46d184176036f31404eec,7d27601b5630402e8125212152a22e090f7b0c5e79b46d184176036f31404eec,PASS,
modeling,model exists: 03_model_FS1_knn_cosine.joblib,True,True,PASS,
modeling,metadata model hash: 03_model_FS1_knn_cosine.joblib,3fa1713e280455131c0cdf828bb31c63be4486f58ecbddde38993fbab4c7e3bb,3fa1713e280455131c0cdf828bb31c63be4486f58ecbddde38993fbab4c7e3bb,PASS,
modeling,manifest model hash: 03_model_FS1_knn_cosine.joblib,3fa1713e280455131c0cdf828bb31c63be4486f58ecbddde38993fbab4c7e3bb,3fa1713e280455131c0cdf828bb31c63be4486f58ecbddde38993fbab4c7e3bb,PASS,
modeling,model exists: 03_model_FS4_complement_naive_bayes.joblib,True,True,PASS,
modeling,metadata model hash: 03_model_FS4_complement_naive_bayes.joblib,4150cd73d51207945b14c31610a6ffef7b9e2fdddf00b5d00b51b9badeabd7bc,4150cd73d51207945b14c31610a6ffef7b9e2fdddf00b5d00b51b9badeabd7bc,PASS,
modeling,manifest model hash: 03_model_FS4_complement_naive_bayes.joblib,4150cd73d51207945b14c31610a6ffef7b9e2fdddf00b5d00b51b9badeabd7bc,4150cd73d51207945b14c31610a6ffef7b9e2fdddf00b5d00b51b9badeabd7bc,PASS,
modeling,model exists: 03_model_FS4_knn_cosine.joblib,True,True,PASS,
modeling,metadata model hash: 03_model_FS4_knn_cosine.joblib,25e2bdcafd113a4b6ab496570395d72a62997711b4bb0eb8653f1fb480cb057b,25e2bdcafd113a4b6ab496570395d72a62997711b4bb0eb8653f1fb480cb057b,PASS,
modeling,manifest model hash: 03_model_FS4_knn_cosine.joblib,25e2bdcafd113a4b6ab496570395d72a62997711b4bb0eb8653f1fb480cb057b,25e2bdcafd113a4b6ab496570395d72a62997711b4bb0eb8653f1fb480cb057b,PASS,
modeling,model exists: 03_model_FS4_lightgbm.joblib,True,True,PASS,
modeling,metadata model hash: 03_model_FS4_lightgbm.joblib,a1c0199737016338e3205d6c941c86a9833f0a1a2c8e63c8e5ec8df4b71c228d,a1c0199737016338e3205d6c941c86a9833f0a1a2c8e63c8e5ec8df4b71c228d,PASS,
modeling,manifest model hash: 03_model_FS4_lightgbm.joblib,a1c0199737016338e3205d6c941c86a9833f0a1a2c8e63c8e5ec8df4b71c228d,a1c0199737016338e3205d6c941c86a9833f0a1a2c8e63c8e5ec8df4b71c228d,PASS,
modeling,model exists: 03_model_FS4_linear_svm.joblib,True,True,PASS,
modeling,metadata model hash: 03_model_FS4_linear_svm.joblib,4c950931a7fc53edadc70e7ff71959f21e72c449d56a0aabb410e4412dfac374,4c950931a7fc53edadc70e7ff71959f21e72c449d56a0aabb410e4412dfac374,PASS,
modeling,manifest model hash: 03_model_FS4_linear_svm.joblib,4c950931a7fc53edadc70e7ff71959f21e72c449d56a0aabb410e4412dfac374,4c950931a7fc53edadc70e7ff71959f21e72c449d56a0aabb410e4412dfac374,PASS,
modeling,model exists: 03_model_FS4_logistic_regression.joblib,True,True,PASS,
modeling,metadata model hash: 03_model_FS4_logistic_regression.joblib,af87b5163acffaea0f936588eebbd983673c619afc3727a09b0fcf128424bb37,af87b5163acffaea0f936588eebbd983673c619afc3727a09b0fcf128424bb37,PASS,
modeling,manifest model hash: 03_model_FS4_logistic_regression.joblib,af87b5163acffaea0f936588eebbd983673c619afc3727a09b0fcf128424bb37,af87b5163acffaea0f936588eebbd983673c619afc3727a09b0fcf128424bb37,PASS,
modeling,model exists: 03_model_FS4_random_forest.joblib,True,True,PASS,
modeling,metadata model hash: 03_model_FS4_random_forest.joblib,c72c0a6181c45899fa7f874f8763761a9a299587074f740387ab7c234459c928,c72c0a6181c45899fa7f874f8763761a9a299587074f740387ab7c234459c928,PASS,
modeling,manifest model hash: 03_model_FS4_random_forest.joblib,c72c0a6181c45899fa7f874f8763761a9a299587074f740387ab7c234459c928,c72c0a6181c45899fa7f874f8763761a9a299587074f740387ab7c234459c928,PASS,
modeling,model exists: 03_model_FS4_xgboost.joblib,True,True,PASS,
modeling,metadata model hash: 03_model_FS4_xgboost.joblib,cacc66165c9c5239ceae9bad66d74e4f46fe4eec9739afc33a55be1f2b196afa,cacc66165c9c5239ceae9bad66d74e4f46fe4eec9739afc33a55be1f2b196afa,PASS,
modeling,manifest model hash: 03_model_FS4_xgboost.joblib,cacc66165c9c5239ceae9bad66d74e4f46fe4eec9739afc33a55be1f2b196afa,cacc66165c9c5239ceae9bad66d74e4f46fe4eec9739afc33a55be1f2b196afa,PASS,
modeling,model exists: 03_model_FS5_lightgbm.joblib,True,True,PASS,
modeling,metadata model hash: 03_model_FS5_lightgbm.joblib,80ffab5508e2d7d702d4103408e4dc452dc960fff6461eb776b9fd81f0886a66,80ffab5508e2d7d702d4103408e4dc452dc960fff6461eb776b9fd81f0886a66,PASS,
modeling,manifest model hash: 03_model_FS5_lightgbm.joblib,80ffab5508e2d7d702d4103408e4dc452dc960fff6461eb776b9fd81f0886a66,80ffab5508e2d7d702d4103408e4dc452dc960fff6461eb776b9fd81f0886a66,PASS,
evaluation,script_build,2026-08-16_evaluation_common_feature_selection_v1,2026-08-16_evaluation_common_feature_selection_v1,PASS,
evaluation,run_id,evaluation_common_feature_selection_v1,evaluation_common_feature_selection_v1,PASS,
evaluation,modeling_build,2026-08-16_final_comparative_common_feature_selection_v1,2026-08-16_final_comparative_common_feature_selection_v1,PASS,
evaluation,modeling_run_id,final_comparative_common_feature_selection_v1,final_comparative_common_feature_selection_v1,PASS,
evaluation,data_sha256,930d6819d8d0f15795aaadc5344dc8346aab1079925d1d819f88ca85da587a49,930d6819d8d0f15795aaadc5344dc8346aab1079925d1d819f88ca85da587a49,PASS,
evaluation,training_records,22842,22842,PASS,
evaluation,holdout_records,5709,5709,PASS,
evaluation,holdout_semantic_groups,4164,4164,PASS,
evaluation,model_training_performed,False,False,PASS,
evaluation,hyperparameter_tuning_performed,False,False,PASS,
evaluation,model_selection_performed,False,False,PASS,
evaluation,holdout_used_for_model_selection,False,False,PASS,
evaluation,final feature set,FS5,FS5,PASS,
evaluation,final model,lightgbm,lightgbm,PASS,
evaluation,common feature set inherited from Modeling,FS4,FS4,PASS,
evaluation,feature-set selection performed in Evaluation,False,False,PASS,
evaluation,evaluated pipeline set,"{('FS4', 'linear_svm'), ('FS5', 'lightgbm'), ('FS4', 'knn_cosine'), ('FS4', 'random_forest'), ('FS4', 'lightgbm'), ('FS4', 'complement_naive_bayes'), ('FS4', 'xgboost'), ('FS4', 'logistic_regression')}","{('FS4', 'linear_svm'), ('FS4', 'random_forest'), ('FS4', 'lightgbm'), ('FS4', 'xgboost'), ('FS4', 'logistic_regression'), ('FS5', 'lightgbm'), ('FS4', 'knn_cosine'), ('FS4', 'complement_naive_bayes')}",PASS,
evaluation,evaluated pipeline count,8,8,PASS,
evaluation,common-set row: logistic_regression,1,1,PASS,
evaluation,common-set Macro-F1: logistic_regression,0.5397,0.5396890393840784,PASS,atol=0.0005
evaluation,common-set row: linear_svm,1,1,PASS,
evaluation,common-set Macro-F1: linear_svm,0.5406,0.5406194433746484,PASS,atol=0.0005
evaluation,common-set row: complement_naive_bayes,1,1,PASS,
evaluation,common-set Macro-F1: complement_naive_bayes,0.4893,0.489260807242615,PASS,atol=0.0005
evaluation,common-set row: knn_cosine,1,1,PASS,
evaluation,common-set Macro-F1: knn_cosine,0.5478,0.5477540231880171,PASS,atol=0.0005
evaluation,common-set row: random_forest,1,1,PASS,
evaluation,common-set Macro-F1: random_forest,0.5566,0.5565779854845675,PASS,atol=0.0005
evaluation,common-set row: xgboost,1,1,PASS,
evaluation,common-set Macro-F1: xgboost,0.5112,0.5111855010336886,PASS,atol=0.0005
evaluation,common-set row: lightgbm,1,1,PASS,
evaluation,common-set Macro-F1: lightgbm,0.5594,0.5593972349687143,PASS,atol=0.0005
evaluation,final hold-out row,1,1,PASS,
evaluation,final hold-out Macro-F1,0.5597,0.5596589801868707,PASS,atol=0.0005
evaluation,H1 feature set,FS4,FS4,PASS,
evaluation,H1 pairwise,True,True,PASS,
evaluation,H1 family_mean_comparison,False,False,PASS,
evaluation,H1 number_of_comparisons,6,6,PASS,
evaluation,H1 supported,True,True,PASS,
evaluation,H1 supporting alternatives,['lightgbm'],['lightgbm'],PASS,
H1,pairwise rows,6,6,PASS,
H1,row: linear_svm,1,1,PASS,
H1,delta: linear_svm,0.0009,0.0009304039905699,PASS,atol=0.0005
H1,CI lower: linear_svm,-0.0054,-0.0054442342021502,PASS,atol=0.0005
H1,CI upper: linear_svm,0.0074,0.0073897593305446,PASS,atol=0.0005
H1,Holm p: linear_svm,1.0,1.0,PASS,atol=0.0007
H1,significant: linear_svm,False,False,PASS,
H1,row: complement_naive_bayes,1,1,PASS,
H1,delta: complement_naive_bayes,-0.0504,-0.0504282321414633,PASS,atol=0.0005
H1,CI lower: complement_naive_bayes,-0.0668,-0.0667616026476025,PASS,atol=0.0005
H1,CI upper: complement_naive_bayes,-0.0333,-0.0332568449899554,PASS,atol=0.0005
H1,Holm p: complement_naive_bayes,1.0,1.0,PASS,atol=0.0007
H1,significant: complement_naive_bayes,False,False,PASS,
H1,row: knn_cosine,1,1,PASS,
H1,delta: knn_cosine,0.0081,0.0080649838039387,PASS,atol=0.0005
H1,CI lower: knn_cosine,-0.0122,-0.0122117664897814,PASS,atol=0.0005
H1,CI upper: knn_cosine,0.0282,0.0281828617211431,PASS,atol=0.0005
H1,Holm p: knn_cosine,0.854715,0.8547145285471452,PASS,atol=0.0007
H1,significant: knn_cosine,False,False,PASS,
H1,row: random_forest,1,1,PASS,
H1,delta: random_forest,0.0169,0.016888946100489,PASS,atol=0.0005
H1,CI lower: random_forest,-0.001,-0.0010381581902038,PASS,atol=0.0005
H1,CI upper: random_forest,0.035,0.0349708314053714,PASS,atol=0.0005
H1,Holm p: random_forest,0.161484,0.1614838516148385,PASS,atol=0.0007
H1,significant: random_forest,False,False,PASS,
H1,row: xgboost,1,1,PASS,
H1,delta: xgboost,-0.0285,-0.0285035383503897,PASS,atol=0.0005
H1,CI lower: xgboost,-0.0462,-0.0461769837886095,PASS,atol=0.0005
H1,CI upper: xgboost,-0.0103,-0.0102701071184128,PASS,atol=0.0005
H1,Holm p: xgboost,1.0,1.0,PASS,atol=0.0007
H1,significant: xgboost,False,False,PASS,
H1,row: lightgbm,1,1,PASS,
H1,delta: lightgbm,0.0197,0.0197081955846358,PASS,atol=0.0005
H1,CI lower: lightgbm,0.0044,0.0043710196157917,PASS,atol=0.0005
H1,CI upper: lightgbm,0.0348,0.0348410160280764,PASS,atol=0.0005
H1,Holm p: lightgbm,0.023998,0.023997600239976,PASS,atol=0.0007
H1,significant: lightgbm,True,True,PASS,
evaluation,final Macro-F1 interval row,1,1,PASS,
evaluation,final interval Macro-F1,0.5597,0.5596589801868707,PASS,atol=0.0005
evaluation,prediction rows,5709,5709,PASS,
evaluation,prediction columns,True,True,PASS,
evaluation,hash: holdout_results,d55ca717f60378d429a91245c6613461f53fc23d2d0b4319a32d6119467f782e,d55ca717f60378d429a91245c6613461f53fc23d2d0b4319a32d6119467f782e,PASS,
evaluation,hash: h1_pairwise_results,78ed5530b703b776bf8c5c2d2c2cebb3b8f6a749de80f3b8e85ced4efb04c0b9,78ed5530b703b776bf8c5c2d2c2cebb3b8f6a749de80f3b8e85ced4efb04c0b9,PASS,
evaluation,hash: final_model_intervals,37f43e7430aeb73ef3a5e44f773cb70e26aa53896b1d4c689f40237f659ae16b,37f43e7430aeb73ef3a5e44f773cb70e26aa53896b1d4c689f40237f659ae16b,PASS,
evaluation,hash: holdout_predictions,998b1702f12439ff8004babfda5262ad047237efae56cd0803635da7baec13f5,998b1702f12439ff8004babfda5262ad047237efae56cd0803635da7baec13f5,PASS,
explainability,script_build,2026-08-16_explainability_common_feature_selection_v1,2026-08-16_explainability_common_feature_selection_v1,PASS,
explainability,modeling_build,2026-08-16_final_comparative_common_feature_selection_v1,2026-08-16_final_comparative_common_feature_selection_v1,PASS,
explainability,evaluation_build,2026-08-16_evaluation_common_feature_selection_v1,2026-08-16_evaluation_common_feature_selection_v1,PASS,
explainability,run_id,explainability_common_feature_selection_v1,explainability_common_feature_selection_v1,PASS,
explainability,data_sha256,930d6819d8d0f15795aaadc5344dc8346aab1079925d1d819f88ca85da587a49,930d6819d8d0f15795aaadc5344dc8346aab1079925d1d819f88ca85da587a49,PASS,
explainability,feature_set,FS4,FS4,PASS,
explainability,global_h2_groups,300,300,PASS,
explainability,local_cases,12,12,PASS,
explainability,unique_explained_groups,312,312,PASS,
explainability,knn_permutation_background_groups_per_class,3,3,PASS,
explainability,knn_permutation_cycles,3,3,PASS,
explainability,model_training_performed,False,False,PASS,
explainability,hyperparameter_tuning_performed,False,False,PASS,
explainability,model_selection_performed,False,False,PASS,
explainability,h2_model_eligibility_based_on_performance,False,False,PASS,
explainability,all frozen classifiers,"['logistic_regression', 'linear_svm', 'complement_naive_bayes', 'knn_cosine', 'random_forest', 'xgboost', 'lightgbm']","['logistic_regression', 'linear_svm', 'complement_naive_bayes', 'knn_cosine', 'random_forest', 'xgboost', 'lightgbm']",PASS,
explainability,H2 model set,"['logistic_regression', 'linear_svm', 'complement_naive_bayes', 'knn_cosine', 'random_forest', 'xgboost', 'lightgbm']","['logistic_regression', 'linear_svm', 'complement_naive_bayes', 'knn_cosine', 'random_forest', 'xgboost', 'lightgbm']",PASS,
explainability,H2 model count,7,7,PASS,
explainability,common feature set inherited from Modeling,FS4,FS4,PASS,
explainability,feature-set selection performed in Explainability,False,False,PASS,
explainability,H2 feature set,FS4,FS4,PASS,
