category,check,expected,observed,status,detail
explainability,hash: final_model_validation,b44da48e1771cb7dd5444c8ae78c9415c067bc0a07011ec4d747f5e242904e59,b44da48e1771cb7dd5444c8ae78c9415c067bc0a07011ec4d747f5e242904e59,PASS,
figures,04_common_feature_set_holdout_macro_f1.png,True,True,PASS,
figures,04_H1_pairwise_macro_f1_differences.png,True,True,PASS,
figures,04_final_model_confusion_matrix.png,True,True,PASS,
figures,05_h2_compactness_by_model.png,True,True,PASS,
figures,05_h2_pairwise_differences.png,True,True,PASS,
figures,05_feature_group_shares_by_model.png,True,True,PASS,
figures,05_top_features_FS5_lightgbm_low.png,True,True,PASS,
figures,05_top_features_FS5_lightgbm_medium.png,True,True,PASS,
figures,05_top_features_FS5_lightgbm_high.png,True,True,PASS,
figures,XAI figure hash: 05_h2_compactness_by_model.png,dafb7ffe90e6a5b9ce739749d14e64a7c8934af247173c2088363e2aa43819c3,dafb7ffe90e6a5b9ce739749d14e64a7c8934af247173c2088363e2aa43819c3,PASS,
figures,XAI figure hash: 05_h2_pairwise_differences.png,f6ac5bb2510cda45ad8f157cc0d7d714e0704eb69605eae19c06d585662c5039,f6ac5bb2510cda45ad8f157cc0d7d714e0704eb69605eae19c06d585662c5039,PASS,
figures,XAI figure hash: 05_feature_group_shares_by_model.png,6d727e23649d483ee9dd36697a43b4a3d5d8e03025b2313b57d2621341bf7b4f,6d727e23649d483ee9dd36697a43b4a3d5d8e03025b2313b57d2621341bf7b4f,PASS,
figures,XAI figure hash: 05_top_features_FS5_lightgbm_low.png,8a87ad61f99efd48a1f37c81b614398f2d6918fa87d071e75741f75d86d7a4f9,8a87ad61f99efd48a1f37c81b614398f2d6918fa87d071e75741f75d86d7a4f9,PASS,
figures,XAI figure hash: 05_top_features_FS5_lightgbm_medium.png,59d5d39ee1b011a02841148277c2710f566cc25b1b765d689c3160c22a9f651d,59d5d39ee1b011a02841148277c2710f566cc25b1b765d689c3160c22a9f651d,PASS,
figures,XAI figure hash: 05_top_features_FS5_lightgbm_high.png,c4a31470e634d17debd4032b79a5cc70baac454651e5c44b0d5524ede3d22bf4,c4a31470e634d17debd4032b79a5cc70baac454651e5c44b0d5524ede3d22bf4,PASS,
knn_sensitivity,reference XAI build,2026-08-16_explainability_common_feature_selection_v1,2026-08-16_explainability_common_feature_selection_v1,PASS,
knn_sensitivity,reference XAI run ID,explainability_common_feature_selection_v1,explainability_common_feature_selection_v1,PASS,
knn_sensitivity,reference XAI manifest hash,c8111aa451cf6ff6871755727869c57e68954c2aa1f619cac0f904f3e933341c,c8111aa451cf6ff6871755727869c57e68954c2aa1f619cac0f904f3e933341c,PASS,
knn_sensitivity,model,knn_cosine,knn_cosine,PASS,
knn_sensitivity,feature set,FS4,FS4,PASS,
knn_sensitivity,current 05 background groups/class,3,3,PASS,
knn_sensitivity,current 05 permutation cycles,3,3,PASS,
knn_sensitivity,sensitivity groups/class,30,30,PASS,
knn_sensitivity,sensitivity groups,90,90,PASS,
knn_sensitivity,sample hash,dffe4ad39abde2d88850b35df033fc099dd7b34ab8fef03f43a5c73f62fdfeb0,dffe4ad39abde2d88850b35df033fc099dd7b34ab8fef03f43a5c73f62fdfeb0,PASS,
knn_sensitivity,summary hash,e95794d50b8528396a0718263b24c5eae9cd7d741e7c3450f87ff3167de3e972,e95794d50b8528396a0718263b24c5eae9cd7d741e7c3450f87ff3167de3e972,PASS,
knn_sensitivity,comparison hash,d646e883a5205071d4d364e3e3db4784783719d6934f0f3bd20ff65ee2b58a64,d646e883a5205071d4d364e3e3db4784783719d6934f0f3bd20ff65ee2b58a64,PASS,
knn_sensitivity,configuration design,"{'reference': (3, 3), 'reduced_background': (1, 3), 'reduced_cycles': (3, 1)}","{'reference': (3, 3), 'reduced_background': (1, 3), 'reduced_cycles': (3, 1)}",PASS,
knn_sensitivity,summary rows,3,3,PASS,
knn_sensitivity,comparison rows,2,2,PASS,
knn_sensitivity,sample semantic groups,90,90,PASS,
knn_sensitivity,max additivity error <= 1e-4,True,True,PASS,
